,날짜,use_start_lng,use_start_lat,최저기온(°C),최고기온(°C),강수유무,주간/주말,대여자수
763,1213,127.252239,36.501901,8.74,7.48,0,1,5.93
707,1213,127.236016,36.501136,8.74,7.48,0,1,3.71
3535,1213,127.248062,36.485904,8.74,7.48,0,1,5.5
1764,1213,127.255975,36.510809,8.74,7.48,0,1,7.33
3556,1213,127.258243,36.507789,8.74,7.48,0,1,13.74
2541,1213,127.249278,36.494827,8.74,7.48,0,1,13.2
777,1213,127.249558,36.511749,8.74,7.48,0,1,7.33
3521,1213,127.265907,36.506698,8.74,7.48,0,1,47.55
784,1213,127.250449,36.514286,8.74,7.48,0,1,-0.08
1757,1213,127.254918,36.479067,8.74,7.48,0,1,1.7
770,1213,127.242248,36.511875,8.74,7.48,0,1,13.28
476,1213,127.28319,36.477265,8.74,7.48,0,1,16.08
3591,1213,127.300345,36.485543,8.74,7.48,0,1,12.74
2870,1213,127.248994,36.493333,8.74,7.48,0,1,17.93
3416,1213,127.257568,36.487754,8.74,7.48,0,1,11.33
889,1213,127.262309,36.50198,8.74,7.48,0,1,16.39
3409,1213,127.251881,36.494407,8.74,7.48,0,1,0.75
896,1213,127.264262,36.519649,8.74,7.48,0,1,2.89
1701,1213,127.249603,36.50488,8.74,7.48,0,1,1.5
2604,1213,127.24989,36.504114,8.74,7.48,0,1,4.36
3402,1213,127.261713,36.504864,8.74,7.48,0,1,48.14
