,날짜,use_end_lng,use_end_lat,최저기온(°C),최고기온(°C),강수유무,주간/주말,대여자수
3332,1213,127.304452,36.492532,8.74,7.48,0,1,6.07
3241,1213,127.242543,36.514818,8.74,7.48,0,1,7.61
2723,1213,127.258088,36.489306,8.74,7.48,0,1,47.74
1141,1213,127.288635,36.476536,8.74,7.48,0,1,24.02
3927,1213,127.256191,36.490722,8.74,7.48,0,1,23.53
1575,1213,127.259548,36.484589,8.74,7.48,0,1,17.09
2730,1213,127.265634,36.496111,8.74,7.48,0,1,14.15
3150,1213,127.24858,36.494859,8.74,7.48,0,1,16.18
1155,1213,127.267838,36.529558,8.74,7.48,0,1,3.91
3143,1213,127.247663,36.48678,8.74,7.48,0,1,10.07
1162,1213,127.261355,36.491474,8.74,7.48,0,1,20.36
1568,1213,127.252334,36.490511,8.74,7.48,0,1,4.64
2737,1213,127.267443,36.504548,8.74,7.48,0,1,32.8
3136,1213,127.251999,36.4842,8.74,7.48,0,1,6.98
1169,1213,127.262421,36.49216,8.74,7.48,0,1,8.78
3129,1213,127.259645,36.482133,8.74,7.48,0,1,42.88
1176,1213,127.289834,36.497709,8.74,7.48,0,1,4.56
1561,1213,127.256616,36.494054,8.74,7.48,0,1,3.67
2716,1213,127.30001,36.491935,8.74,7.48,0,1,14.06
1589,1213,127.250539,36.511454,8.74,7.48,0,1,3.65
1148,1213,127.249447,36.504891,8.74,7.48,0,1,5.48
1057,1213,127.287455,36.479679,8.74,7.48,0,1,-4.2
3185,1213,127.233017,36.513226,8.74,7.48,0,1,-0.04
1099,1213,127.245721,36.517323,8.74,7.48,0,1,2.07
378,1213,127.256886,36.495246,8.74,7.48,0,1,19.68
2688,1213,127.2417,36.496172,8.74,7.48,0,1,9.79
3234,1213,127.249595,36.511492,8.74,7.48,0,1,1.58
1071,1213,127.289234,36.608603,8.74,7.48,0,1,11.73
3227,1213,127.241923,36.508983,8.74,7.48,0,1,1.55
1078,1213,127.302517,36.48525,8.74,7.48,0,1,-1.67
1610,1213,127.256346,36.494621,8.74,7.48,0,1,31.51
3199,1213,127.241019,36.517241,8.74,7.48,0,1,1.3
2695,1213,127.255052,36.49264,8.74,7.48,0,1,23.57
1085,1213,127.267736,36.500118,8.74,7.48,0,1,0.93
3213,1213,127.246085,36.50206,8.74,7.48,0,1,3.94
1092,1213,127.300929,36.481362,8.74,7.48,0,1,15.26
1603,1213,127.2592,36.485165,8.74,7.48,0,1,23.8
2702,1213,127.253187,36.475209,8.74,7.48,0,1,12.34
3206,1213,127.2394,36.510443,8.74,7.48,0,1,0.38
1064,1213,127.233825,36.519781,8.74,7.48,0,1,0.61
3220,1213,127.249841,36.504353,8.74,7.48,0,1,3.65
1344,1213,127.231787,36.517593,8.74,7.48,0,1,0.45
1106,1213,127.242839,36.525969,8.74,7.48,0,1,0.88
2016,1213,127.251053,36.515796,8.74,7.48,0,1,6.61
1113,1213,127.285486,36.476889,8.74,7.48,0,1,18.15
1120,1213,127.297929,36.601053,8.74,7.48,0,1,4.7
3871,1213,127.26221,36.515906,8.74,7.48,0,1,7.85
1792,1213,127.297101,36.586551,8.74,7.48,0,1,2.35
217,1213,127.28775,36.479902,8.74,7.48,0,1,-6.71
3157,1213,127.25591,36.491253,8.74,7.48,0,1,18.57
